年度,日期,活動名稱,場次狀態,email網域,正取,候補,請假
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@pilotpr.com.tw,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unisincere.com,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unisincere.com.tw,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unismart.com.tw,1,0,0
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unisurf.com.tw,1,0,0
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@ky-post.com,5,0,0
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@medialand.tw,4,0,0
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@ua.com.tw,2,1,0
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@mxdigi.com,2,0,0
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@pilotpr.com.tw,1,0,1
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@gmail.com,0,0,1
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@grandpr.com.tw,1,0,0
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@planetpr.com.tw,1,0,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@ua.com.tw,4,1,2
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@unismart.com.tw,4,1,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@hakuhodotm.com.tw,3,1,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@meshplus.com.tw,4,0,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@ky-post.com,1,0,1
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@pilotpr.com.tw,0,2,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@charismomo.com,1,0,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@grandpr.com.tw,0,1,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@medialand.tw,1,0,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@mxdigi.com,1,0,0
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒,ENDED,@planetpr.com.tw,0,1,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@ua.com.tw,7,0,3
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@meshplus.com.tw,7,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@mxdigi.com,6,0,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@medialand.tw,5,0,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@bioproweb.com,2,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@gmail.com,1,0,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@hakuhodotm.com.tw,2,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@ky-post.com,2,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@pilotpr.com.tw,1,0,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@prestigepr.com.tw,2,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@divibemedia.com,1,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@ffceap.com.tw,0,0,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@planetpr.com.tw,1,0,0
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@unismart.com.tw,1,0,0
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@medialand.tw,5,0,0
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@gmail.com,3,0,0
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@mxdigi.com,2,0,1
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@unismart.com.tw,1,0,1
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@meshplus.com.tw,1,0,0
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@pilotpr.com.tw,1,0,0
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@ua.com.tw,0,0,1
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@ua.com.tw,3,0,3
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@hakuhodotm.com.tw,4,0,0
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@medialand.tw,4,0,0
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@mxdigi.com,2,0,1
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@prestigepr.com.tw,0,0,2
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@unismart.com.tw,1,0,1
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@ky-post.com,1,0,0
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術,ENDED,@unisurf.com.tw,1,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@hakuhodotm.com.tw,9,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@interplan.com.tw,3,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@medialand.tw,2,0,1
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@pilotpr.com.tw,2,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@hakuhodoti.com.tw,1,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@jointoenjoy.com,1,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@kecc.com.tw,1,0,0
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@messetaoyuan.com,1,0,0
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@hakuhodotm.com.tw,5,0,2
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@medialand.tw,6,0,0
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@mxdigi.com,4,0,1
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@ua.com.tw,4,0,1
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@ky-post.com,3,0,0
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@unismart.com.tw,3,0,0
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@2008-media.com,2,0,0
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@gmail.com,1,0,1
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@unisincere.com.tw,2,0,0
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@jointoenjoy.com,1,0,0
