年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2025,2025-11-21,上午10:00 ｜ RESET！讓內耗退場的動力發光術,無,@mxdigi.com,米蘭 MDCG,2,0,1,0
2025,2025-11-21,上午10:00 ｜ RESET！讓內耗退場的動力發光術,無,@unismart.com.tw,聯廣 UCG,1,0,1,0
2025,2025-11-21,上午10:00 ｜ RESET！讓內耗退場的動力發光術,無,@meshplus.com.tw,米蘭 MDCG,1,0,0,0
2025,2025-11-21,上午10:00 ｜ RESET！讓內耗退場的動力發光術,無,@pilotpr.com.tw,先勢集團,1,0,0,0
2025,2025-11-21,上午10:00 ｜ RESET！讓內耗退場的動力發光術,無,@ua.com.tw,聯廣 UCG,0,0,1,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@ua.com.tw,聯廣 UCG,3,0,3,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@hakuhodotm.com.tw,台北博報堂 HTM,4,0,0,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@medialand.tw,米蘭 MDCG,4,0,0,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@mxdigi.com,米蘭 MDCG,2,0,1,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@prestigepr.com.tw,先勢集團,0,0,2,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@unismart.com.tw,聯廣 UCG,1,0,1,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@ky-post.com,光洋波斯特,1,0,0,0
2025,2025-11-21,下午14:30 ｜ RESET！讓內耗退場的動力發光術,無,@unisurf.com.tw,聯廣 UCG,1,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@ua.com.tw,聯廣 UCG,7,0,3,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@meshplus.com.tw,米蘭 MDCG,7,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@mxdigi.com,米蘭 MDCG,6,0,1,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@medialand.tw,米蘭 MDCG,5,0,1,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@hakuhodotm.com.tw,台北博報堂 HTM,2,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@ky-post.com,光洋波斯特,2,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@pilotpr.com.tw,先勢集團,1,0,1,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@prestigepr.com.tw,先勢集團,2,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@divibemedia.com,迪維,1,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@planetpr.com.tw,先勢集團,1,0,0,0
2025,2025-11-07,聲音╳書寫・療癒實驗室,無,@unismart.com.tw,聯廣 UCG,1,0,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@ua.com.tw,聯廣 UCG,4,1,2,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@unismart.com.tw,聯廣 UCG,4,1,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@hakuhodotm.com.tw,台北博報堂 HTM,3,1,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@meshplus.com.tw,米蘭 MDCG,4,0,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@ky-post.com,光洋波斯特,1,0,1,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@pilotpr.com.tw,先勢集團,0,2,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@grandpr.com.tw,先勢集團,0,1,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@medialand.tw,米蘭 MDCG,1,0,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@mxdigi.com,米蘭 MDCG,1,0,0,0
2025,2025-10-09,森之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@planetpr.com.tw,先勢集團,0,1,0,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@ky-post.com,光洋波斯特,5,0,0,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@medialand.tw,米蘭 MDCG,4,0,0,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@ua.com.tw,聯廣 UCG,2,1,0,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@mxdigi.com,米蘭 MDCG,2,0,0,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@pilotpr.com.tw,先勢集團,1,0,1,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@grandpr.com.tw,先勢集團,1,0,0,0
2025,2025-10-03,水之旅｜大自然的離線之旅｜秋之象 森林療癒,無,@planetpr.com.tw,先勢集團,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@medialand.tw,米蘭 MDCG,6,0,1,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@mxdigi.com,米蘭 MDCG,4,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@meshplus.com.tw,米蘭 MDCG,2,0,1,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@planetpr.com.tw,先勢集團,1,0,2,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@2008-media.com,2008傳媒,0,0,2,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@hakuhodotm.com.tw,台北博報堂 HTM,2,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@ua.com.tw,聯廣 UCG,2,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@ace-taipei.com,艾斯,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@ky-post.com,光洋波斯特,1,0,0,0
